,Stock,close,14 period RSI,MACD,SIGNAL,14 period STOCH %K,MFV,14 period ATR,MOM,14 period MFI,ROC,OBV,20 period CCI,14 period EMV,VIm,VIp,ema50,ema21,ema15,ema5,normVol
2021-03-11,AAPL,121.95999908447266,,0.0,0.0,,-29058963.124535386,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
2021-03-12,AAPL,121.02999877929688,0.0,-0.02086539146228006,-0.011591884145711143,,46772809.57734047,,,,,-88105100.0,-66.66666666666723,,,,0.9962104313613036,0.9962613553719359,0.996304169478041,0.9965194078000387,0.9285211366448958
2021-03-15,AAPL,123.98999786376953,77.41452276084074,0.06520274426426909,0.01988132421903485,,138660277.21806863,,,,,4298700.0,74.50490749040615,,,,1.0134857526659624,1.0133329247890397,1.0132025798135034,1.0125229454666023,0.9840139417072364
2021-03-16,AAPL,125.56999969482422,84.37005743375732,0.15979563024006893,0.06727776934811143,,101787208.55901101,,,,,119526600.0,133.33333333333303,,,,1.0194707577082651,1.0190855508746237,1.0187595980804545,1.017100875582884,1.1434857834858312
2021-03-17,AAPL,124.76000213623047,72.10963706818106,0.17560022233875827,0.09950125012828957,,143762115.51432276,,,,,7594000.0,51.20599404922002,,,,1.0101852217366696,1.0097447316312733,1.0093769116158275,1.0075807666693295,1.077521169324837
2021-03-18,AAPL,120.52999877929688,39.680481708277064,0.0009228048638902919,0.07278101060610659,,40335297.0373203,,,,,-113635700.0,-65.14369908818361,,,,0.9800628153748127,0.9799885226205258,0.9799424332152713,0.9799460157038495,1.1201384933809833
2021-03-19,AAPL,119.98999786376953,37.36999319461588,-0.13557837108756132,0.02005080962193788,,-79477183.53606139,,,,,-299185200.0,-88.12951274634752,,,,0.9792808365273199,0.979506977427629,0.9797208619951309,0.9811000424963066,1.4714093440603162
2021-03-22,AAPL,123.38999938964844,55.09805715779931,-0.06322325830554121,3.8485129770188276e-05,,2674301.7271632403,,,,,-187272900.0,1.6727088821899756,,,,1.0060829559031803,1.006193203817086,1.0062986045115425,1.0069538674642944,0.9096982902807641
2021-03-23,AAPL,122.54000091552734,51.196459374369915,-0.05432825272895059,-0.012520501030371644,,-56424214.0649683,,,,,-282740000.0,22.971231538537314,,,,0.9992540771521284,0.9993598480866337,0.9994577548524245,1.000013683640699,0.8136980548564086
2021-03-24,AAPL,120.08999633789062,41.97098328508116,-0.17342608871096843,-0.048572693227371525,,-143703610.41580158,,,,,-371270500.0,-68.97138744617577,,,,0.9814955755981343,0.9818531324912445,0.9821716452112704,0.9839274941170858,0.7932732233489714
2021-03-25,AAPL,120.58999633789062,44.181602870660186,-0.23041813075126072,-0.08835943590439284,,-124381021.20593043,,-1.3700027465820312,,,-272425800.0,-87.72428127179163,,,,0.9870076184358303,0.9875166646619196,0.987962466589627,0.9903081592930384,0.9056296060384323
2021-03-26,AAPL,121.20999908447266,46.883723406147546,-0.23500970069120797,-0.11985376250596884,,-50153238.73860115,,0.18000030517578125,,,-178354600.0,-74.09807363730975,,,,0.9928109741631665,0.9933756212767759,0.9938607917856331,0.9962600753788291,0.8848337249554515
2021-03-29,AAPL,121.38999938964844,47.675669010111086,-0.22512954540414398,-0.14213377576803618,,-73307146.45501839,,-2.5999984741210938,,-0.4673661029051191,-97535400.0,-23.350145825549653,,,,0.9947764416503726,0.9953641921272179,0.9958595240375988,0.998154366720212,0.7952478171309089
2021-03-30,AAPL,119.9000015258789,42.08240444380833,-0.30116472566736263,-0.17540316914247128,12.440201430602631,-43266317.27854663,2.8342868259974887,-5.6699981689453125,43.414197495189775,-0.9336505534289599,-183207300.0,-105.69986909268478,,,,0.9839552745135227,0.9847227304900268,0.9853715123819894,0.988421080052119,0.8676182397711475
2021-03-31,AAPL,122.1500015258789,51.36194226082604,-0.2211454647205926,-0.18488524929433484,39.3540750637456,-61738603.541745186,2.9535724094935825,-2.6100006103515625,47.927918927977075,-1.4839877164223105,-64883500.0,20.084193473750688,0.0016773986914659477,0.9279322281201122,0.881983176960011,1.0022347789618746,1.0029111202424326,1.0034618519035725,1.0057201290842972,1.1573863582288093
2021-04-01,AAPL,123.0,54.33831981929748,-0.10609565901415863,-0.16867093897638724,49.521520184127574,-91507530.65991485,2.8985726492745534,2.470001220703125,53.42994598160092,-2.046666959520706,10205600.0,64.7732502754784,0.0066581681907430185,0.8711187492761666,0.9711679323409484,1.0085383539956851,1.0090259207945949,1.009393082510252,1.0104541781925558,0.7705330822961842
2021-04-05,AAPL,125.9000015258789,62.720336876838516,0.16242778823033177,-0.1009257065167364,84.21053111898387,-17775082.6249135,2.868572780064174,5.910003662109375,53.36200187128924,0.9137539035977462,98856800.0,139.17226158998582,0.004185743462243285,0.8891931653119558,0.9521913031782416,1.0300334609055517,1.0300048331719505,1.0298915093025542,1.0281269918279015,0.9242682413787808
2021-04-06,AAPL,126.20999908447266,63.49182893499124,0.3856246430671888,-0.0018304959870892963,88.87547107148293,-37276299.01063205,2.743572235107422,2.8199996948242188,52.19941939951354,4.712520005560159,179028100.0,169.43595352761295,0.0006992926455815591,0.9242386051222401,0.9242386051222401,1.0303751004992303,1.0298550813832756,1.0292984291693947,1.0252154588821574,0.8603117987265871
2021-04-07,AAPL,127.9000015258789,67.4469916251036,0.6608747565999238,0.13264860258866493,99.77928644089491,44989642.32698253,2.6907146998814175,5.3600006103515625,59.365484942357895,6.592219187377589,262494800.0,167.22238821680173,0.00523285625157247,0.8656756894150319,0.9723920062104517,1.0412960299669545,1.040128887723788,1.0389956853571154,1.0320285934710647,0.9120451540054709
2021-04-08,AAPL,130.36000061035156,72.1727997592387,1.0254015225494584,0.31328174492324606,99.73981975305374,130983721.9992849,2.551428658621652,10.270004272460938,67.31027196727968,5.648756994230004,351339400.0,218.9619372692295,0.013590388504217786,0.7746364076745043,1.1489363701682995,1.0574360514967456,1.0553710844623594,1.0534447626756,1.0426220235494064,0.9756836291200821
2021-04-09,AAPL,133.0,76.17084072689728,1.4694154137248319,0.5466610225871498,99.71795975465405,235280079.58873278,2.6814280918666293,12.410003662109375,79.53275032554495,8.535987437835283,458026100.0,215.88369003219216,0.01869772600855771,0.6683541844411539,1.1840704554590828,1.0739703424781184,1.0707536784364982,1.0678215316735638,1.0523099348449156,1.1383394506357714
2021-04-12,AAPL,131.24000549316406,69.04847921071206,1.677613190581809,0.7745328535248478,87.3061444097708,194099922.0521323,2.5735702514648438,10.030006408691406,71.7479009920103,9.284711046123501,366606100.0,170.60139879167494,0.016059794827546693,0.7307802907006045,1.2112134152048417,1.0562539587257527,1.0523594031594594,1.048882738129622,1.031662908963998,0.9795275485047362
2021-04-13,AAPL,134.42999267578125,73.82567521941777,2.0359132971434235,1.0283069601678518,98.54423454492603,269987511.2793588,2.6678559439522878,13.039993286132812,71.82943382503211,11.476902527728127,457872600.0,175.92495101440025,0.017614588102458414,0.6832670246389722,1.1697462403000938,1.0771978173789778,1.0721571323690287,1.0677215205747377,1.0466893148033085,0.9815565169424646
2021-04-14,AAPL,132.02999877929688,65.6196833733311,2.1251745865712337,1.2487213630369791,81.59850475206358,202089289.41814998,2.704284123011998,12.129997253417969,71.43608571016657,8.926656032134474,370649800.0,137.2597992746662,0.02160337681895088,0.6431597480484679,1.2150035577665006,1.0547971774758989,1.0492563181737413,1.0444715500764554,1.0231665888085244,0.9479769797516411
2021-04-15,AAPL,134.5,69.39062515213163,2.341277933468689,1.4680613200524122,96.90210645038388,225740021.8430622,2.726426805768694,12.349998474121094,78.87636568295608,10.799901702173928,459996900.0,135.54274157798895,0.024899905042598904,0.5713918507140194,1.2509832570959711,1.070523635384327,1.0640392598484365,1.0585147311616698,1.034932923047349,0.9758206107181225
2021-04-16,AAPL,134.16000366210938,68.28043344411057,2.458192159816548,1.6666877997045157,94.79556152629493,248345908.85771722,2.642854963030134,11.160003662109375,71.78641889231723,11.893246000628805,375074500.0,113.28164440668752,0.02474925108558095,0.5618925862843993,1.251352259746044,1.0643006435301752,1.0571480874018078,1.0511452990732368,1.0267378886740357,0.9389416915052354
2021-04-19,AAPL,134.83999633789062,69.33706971323002,2.5687597077539124,1.8475394537826653,96.20707489667475,286847883.377747,2.662855420793806,8.939994812011719,72.28033057230527,10.388861771175005,469338700.0,106.34153670307197,0.023064286753536802,0.5732302627660952,1.202522081360751,1.0661769082880286,1.0583021879098526,1.0517855436667056,1.0264374611036868,1.0348918411850758
2021-04-20,AAPL,133.11000061035156,63.53801273280911,2.5013298085614792,1.978550937803546,83.17108045086653,258302378.48427135,2.7478555951799666,6.900001525878906,71.2336010873506,8.219512691342734,374526400.0,81.66843610208811,0.02360446426758366,0.5539387787845199,1.2136735406618002,1.0499585577514967,1.0418156040292643,1.0352007921224384,1.0110188869682342,1.0338174286370283
2021-04-21,AAPL,133.5,64.26362721541545,2.447743722563189,2.0725349279360206,84.43252579162277,313099032.4113903,2.6642842973981584,5.599998474121094,64.57508270351653,6.036535648936354,443373500.0,65.96460399367794,0.016824012221079945,0.6646118425856666,1.178821034967804,1.0505343079242262,1.0419982749222356,1.0351826215424562,1.0116118604799818,0.7834138359565189
2021-04-22,AAPL,131.94000244140625,59.189568851099644,2.26419902236222,2.110915259370264,71.18782823696681,261248080.96124327,2.7149979727608815,1.5800018310546875,58.0975136869555,4.540054986529625,358807000.0,55.647512804336124,0.015806540110320757,0.6866620781876029,1.1520659295794917,1.0365225141820464,1.027969898475703,1.0212872452965744,0.9998258052124658,0.9683983631430755
2021-04-23,AAPL,134.32000732421875,63.87583217010045,2.268678958175059,2.142499278428658,88.35426827566863,297388539.4221631,2.71642575945173,1.32000732421875,57.95357515895398,5.019550994329612,437464500.0,68.62258468501159,0.014931366802199818,0.7094405379059728,1.152511814740535,1.05273522051097,1.043623331816566,1.0365991386340536,1.0148295464957338,0.9159397203954647
