Date,Stock,Open,High,Low,Close,Volume,SMA100,SMA20,RSI
2022-05-02,AAPL,156.7100067138672,158.22999572753906,153.27000427246094,157.9600067138672,123055300,,,
2022-05-03,AAPL,158.14999389648438,160.7100067138672,156.32000732421875,159.47999572753906,88966500,,,
2022-05-04,AAPL,159.6699981689453,166.47999572753906,159.25999450683594,166.02000427246094,108256500,,,
2022-05-05,AAPL,163.85000610351562,164.0800018310547,154.9499969482422,156.77000427246094,130525300,,,
2022-05-06,AAPL,156.00999450683594,159.44000244140625,154.17999267578125,157.27999877929688,116124600,,,
2022-05-09,AAPL,154.92999267578125,155.8300018310547,151.49000549316406,152.05999755859375,131577900,,,
2022-05-10,AAPL,155.52000427246094,156.74000549316406,152.92999267578125,154.50999450683594,115366700,,,
2022-05-11,AAPL,153.5,155.4499969482422,145.80999755859375,146.5,142689800,,,
2022-05-12,AAPL,142.77000427246094,146.1999969482422,138.8000030517578,142.55999755859375,182602000,,,
2022-05-13,AAPL,144.58999633789062,148.10000610351562,143.11000061035156,147.11000061035156,113990900,,,
2022-05-16,AAPL,145.5500030517578,147.52000427246094,144.17999267578125,145.5399932861328,86643800,,,
2022-05-17,AAPL,148.86000061035156,149.77000427246094,146.67999267578125,149.24000549316406,78336300,,,
2022-05-18,AAPL,146.85000610351562,147.36000061035156,139.89999389648438,140.82000732421875,109742900,,,
2022-05-19,AAPL,139.8800048828125,141.66000366210938,136.60000610351562,137.35000610351562,136095600,,,
2022-05-20,AAPL,139.08999633789062,140.6999969482422,132.61000061035156,137.58999633789062,137426100,,,30.35498836908436
2022-05-23,AAPL,137.7899932861328,143.25999450683594,137.64999389648438,143.11000061035156,117726300,,,40.012576634576014
2022-05-24,AAPL,140.80999755859375,141.97000122070312,137.3300018310547,140.36000061035156,104132700,,,37.24188443358844
2022-05-25,AAPL,138.42999267578125,141.7899932861328,138.33999633789062,140.52000427246094,92482700,,,37.51300552984216
2022-05-26,AAPL,137.38999938964844,144.33999633789062,137.13999938964844,143.77999877929688,90601500,,,42.92333411837743
2022-05-27,AAPL,145.38999938964844,149.67999267578125,145.25999450683594,149.63999938964844,90978500,,148.41000061035157,51.11666202337014
2022-05-31,AAPL,149.07000732421875,150.66000366210938,146.83999633789062,148.83999633789062,103718400,,147.95400009155273,50.06015450583609
2022-06-01,AAPL,149.89999389648438,151.74000549316406,147.67999267578125,148.7100067138672,74286600,,147.41550064086914,49.87975466854181
2022-06-02,AAPL,147.8300018310547,151.27000427246094,146.86000061035156,151.2100067138672,72348100,,146.67500076293945,53.360810246531116
2022-06-03,AAPL,146.89999389648438,147.97000122070312,144.4600067138672,145.3800048828125,88570300,,146.10550079345703,45.43565267309716
2022-06-06,AAPL,147.02999877929688,148.57000732421875,144.89999389648438,146.13999938964844,71598400,,145.54850082397462,46.550098205535406
2022-06-07,AAPL,144.35000610351562,149.0,144.10000610351562,148.7100067138672,67808200,,145.3810012817383,50.250486608105945
2022-06-08,AAPL,148.5800018310547,149.8699951171875,147.4600067138672,147.9600067138672,53950200,,145.05350189208986,49.180435899386474
2022-06-09,AAPL,147.0800018310547,147.9499969482422,142.52999877929688,142.63999938964844,69473000,,144.86050186157226,42.29967089362228
2022-06-10,AAPL,140.27999877929688,140.75999450683594,137.05999755859375,137.1300048828125,91437900,,144.5890022277832,36.58978045658405
2022-06-13,AAPL,132.8699951171875,135.1999969482422,131.44000244140625,131.8800048828125,122207100,,143.82750244140624,32.138281662535306
2022-06-14,AAPL,133.1300048828125,133.88999938964844,131.47999572753906,132.75999450683594,84784300,,143.1885025024414,33.5965584941251
2022-06-15,AAPL,134.2899932861328,137.33999633789062,132.16000366210938,135.42999267578125,91533000,,142.49800186157228,37.9532073357455
2022-06-16,AAPL,132.0800018310547,132.38999938964844,129.0399932861328,130.05999755859375,108123900,,141.96000137329102,33.230924433206624
2022-06-17,AAPL,130.07000732421875,133.0800018310547,129.80999755859375,131.55999755859375,134520300,,141.6705009460449,35.6398459179172
2022-06-21,AAPL,133.4199981689453,137.05999755859375,133.32000732421875,135.8699951171875,81000500,,141.58450088500976,42.10339201388505
2022-06-22,AAPL,134.7899932861328,137.75999450683594,133.91000366210938,135.35000610351562,73409200,,141.19650115966797,41.56108838005287
2022-06-23,AAPL,136.82000732421875,138.58999633789062,135.6300048828125,138.27000427246094,72433800,,141.09200134277344,45.78412632853876
2022-06-24,AAPL,139.89999389648438,141.91000366210938,139.77000427246094,141.66000366210938,89116800,,141.14900131225585,50.276598729632404
2022-06-27,AAPL,142.6999969482422,143.49000549316406,140.97000122070312,141.66000366210938,70207900,,141.0430015563965,50.276598729632404
2022-06-28,AAPL,142.1300048828125,143.4199981689453,137.32000732421875,137.44000244140625,67083400,,140.43300170898436,44.90464185730664
2022-06-29,AAPL,137.4600067138672,140.6699981689453,136.6699981689453,139.22999572753906,66242400,,139.9525016784668,47.46858976087516
2022-06-30,AAPL,137.25,138.3699951171875,133.77000427246094,136.72000122070312,98964500,,139.3530014038086,44.35177331124389
2022-07-01,AAPL,136.0399932861328,139.0399932861328,135.66000366210938,138.92999267578125,71051600,,138.7390007019043,47.613353092498976
2022-07-05,AAPL,137.77000427246094,141.61000061035156,136.92999267578125,141.55999755859375,73353800,,138.54800033569336,51.27345312905941
2022-07-06,AAPL,141.35000610351562,144.1199951171875,141.0800018310547,142.9199981689453,74064300,,138.3870002746582,53.0983070496741
2022-07-07,AAPL,143.2899932861328,146.5500030517578,143.27999877929688,146.35000610351562,66253700,,138.2690002441406,57.42863465593627
2022-07-08,AAPL,145.25999450683594,147.5500030517578,145.0,147.0399932861328,64547800,,138.2229995727539,58.26342915799605
2022-07-11,AAPL,145.6699981689453,146.63999938964844,143.77999877929688,144.8699951171875,63141600,,138.33449935913086,54.63486424390253
2022-07-12,AAPL,145.75999450683594,148.4499969482422,145.0500030517578,145.86000061035156,77588800,,138.7709991455078,55.98176139863675
2022-07-13,AAPL,142.99000549316406,146.4499969482422,142.1199951171875,145.49000549316406,71185600,,139.45149917602538,55.320698253531134
2022-07-14,AAPL,144.0800018310547,148.9499969482422,143.25,148.47000122070312,78140700,,140.23699951171875,59.47175366585981
2022-07-15,AAPL,149.77999877929688,150.86000061035156,148.1999969482422,150.1699981689453,76259900,,140.97399978637696,61.660120293141496
2022-07-18,AAPL,150.74000549316406,151.57000732421875,146.6999969482422,147.07000732421875,81420900,,141.8245002746582,55.748673783574915
2022-07-19,AAPL,147.9199981689453,151.22999572753906,146.91000366210938,151.0,82982400,,142.7965003967285,60.87034221354086
2022-07-20,AAPL,151.1199951171875,153.72000122070312,150.3699951171875,153.0399932861328,64823400,,143.65500030517578,63.248197872272506
2022-07-21,AAPL,154.5,155.57000732421875,151.94000244140625,155.35000610351562,65086600,,144.65500030517578,65.78380240159431
2022-07-22,AAPL,155.38999938964844,156.27999877929688,153.41000366210938,154.08999633789062,66675400,,145.44599990844728,63.221604916577405
2022-07-25,AAPL,154.00999450683594,155.0399932861328,152.27999877929688,152.9499969482422,53623900,,146.0104995727539,60.9100820017268
2022-07-26,AAPL,152.25999450683594,153.08999633789062,150.8000030517578,151.60000610351562,55138700,,146.50749969482422,58.19651497919988
2022-07-27,AAPL,152.5800018310547,157.3300018310547,152.16000366210938,156.7899932861328,78620700,,147.47499923706056,64.70632603325691
2022-07-28,AAPL,156.97999572753906,157.63999938964844,154.41000366210938,157.35000610351562,81378700,,148.38099975585936,65.33363367998635
